subcategory,href,category
Agências de Modelo,https://www.reclameaqui.com.br/segmentos/agencias-de-atendimento-e-recrutamento/agencias-de-modelo/,Agências de Atendimento e Recrutamento
Call Centers e Serviços de Atendimento,https://www.reclameaqui.com.br/segmentos/agencias-de-atendimento-e-recrutamento/call-centers-e-servicos-de-atendimento/,Agências de Atendimento e Recrutamento
Consultorias em RH,https://www.reclameaqui.com.br/segmentos/agencias-de-atendimento-e-recrutamento/consultorias-em-rh/,Agências de Atendimento e Recrutamento
Empresas de Cobranças,https://www.reclameaqui.com.br/segmentos/agencias-de-atendimento-e-recrutamento/empresas-de-cobrancas/,Agências de Atendimento e Recrutamento
Plataformas de Contratação de Serviços,https://www.reclameaqui.com.br/segmentos/agencias-de-atendimento-e-recrutamento/plataformas-de-contratacao-de-servicos/,Agências de Atendimento e Recrutamento
Plataformas de Empregos e Recrutamento,https://www.reclameaqui.com.br/segmentos/agencias-de-atendimento-e-recrutamento/plataformas-de-empregos-e-recrutamento/,Agências de Atendimento e Recrutamento
Treinamentos Profissionais,https://www.reclameaqui.com.br/segmentos/agencias-de-atendimento-e-recrutamento/treinamentos-profissionais/,Agências de Atendimento e Recrutamento
Brinquedos e Entretenimento Infantil,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/brinquedos-e-entretenimento-infantil/,Arte e Entretenimento
Cinemas e Entretenimento Audiovisual,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/cinema-e-entretenimento-audiovisual/,Arte e Entretenimento
Ecommerce - Arte e Entretenimento,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/ecommerce-arte-e-entretenimento/,Arte e Entretenimento
Equipamentos e Instrumentos musicais,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/equipamentos-e-instrumentos-musicais/,Arte e Entretenimento
Escape Rooms,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/escape-rooms/,Arte e Entretenimento
Eventos e Ingressos,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/eventos-e-ingressos/,Arte e Entretenimento
Gráficas,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/graficas/,Arte e Entretenimento
Jogos e Entretenimento Eletrônico,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/jogos-e-entretenimento-eletronico/,Arte e Entretenimento
Karaokê,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/karaoke/,Arte e Entretenimento
Parques de Diversão e Aquáticos,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/parques-de-diversao-e-aquaticos/,Arte e Entretenimento
Parques Urbanos e Praças,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/parques-urbanos-e-pracas/,Arte e Entretenimento
Teatros,https://www.reclameaqui.com.br/segmentos/arte-e-entretenimento/teatros/,Arte e Entretenimento
Alarme e Segurança Residencial,https://www.reclameaqui.com.br/segmentos/casa-e-construcao/alarme-e-seguranca-residencial/,Casa e Construção
Desentupidora e Dedetizadora,https://www.reclameaqui.com.br/segmentos/casa-e-construcao/desentupidora-e-dedetizadora/,Casa e Construção
Ecommerce - Casa e Construção,https://www.reclameaqui.com.br/segmentos/casa-e-construcao/ecommerce-casa-e-construcao/,Casa e Construção
